description,26FP12B,26FP12C,26FP12D,26FP12E1.3.LA,26FP12E1.3.ME,26FP12E1.3.YE,26FP12E1.TE,26FP12E2.TE,26FP12I,26FP15B,26FP15C,26FP15D,26FP15E1.3.LA,26FP15E1.3.ME,26FP15E1.TE,26FP15E2.TE,26FP15E3.TE,26FP15E4.6.LA,26FP16B,26FP16C,26FP16D,26FP16E1.2.LA,26FP16E1.2.ME,26FP16E1.TE,26FP16E1.YE,26FP16I,26FP17B,26FP17C,26FP17D,26FP17E1.2.LA,26FP17E1.2.ME,26FP17E1.TE,26FP17E2.TE,26FP18B,26FP18C,26FP18D,26FP18E1.3.ME,26FP18E1.TE,26FP18E1.YE,26FP18E4.8.LA,26FP3B,26FP3C,26FP3D,26FP3E2.TE,26FP3E3.TE,26FP3E4.LA,26FP3E4.TE,26FP3E9.7.LA,26FP3I,26FP7B,26FP7C,26FP7D,26FP7E1.TE,26FP7E2.TE,26FP7E3.TE,26FP7I,26FP8B,26FP8C,26FP8D,26FP8E1.2.LA,26FP8E1.ME,26FP8E1.TE,26FP8E1.YE,26FP8E2.TE,26FP8I
superpathway of L-aspartate and L-asparagine biosynthesis,968.277552,5477.573134,678.618292,83.933223,270.519476,187.0528,5610.11,5959.121,8725.253334,340.831515,9299.021225,481.736562,198.770276,276.032135,247.32255,1182.42351,127.651894,37.38973,747.029469,8884.360731,990.8719,287.623205,272.017615,366.514699,124.822665,12.80105,2151.087036,9491.683205,3314.917,476.5981,116.170299,617.116569,921.5141,4697.653604,2283.628,2827.871673,154.374166,166.0224,61.38338,939.4891,10080.19645,2580.009375,1115.174495,919.385466,480.208803,1009.93286,3026.735,93.9246,6.483202,497.6453,3868.855176,888.721337,823.470232,576.2269,381.036327,276.258944,2954.998772,14501.70442,1796.581576,349.65695,225.872532,339.518882,247.268569,220.262613,654.9440952
L-arginine degradation II (AST pathway),177.124533,25.6856356,265.703024,94.240103,135.435251,180.1998,1617.16,2805.766,212.1221,134.530332,28.543726,151.133677,86.538825,309.54427,28.237351,59.179193,113.245747,17.21376,363.391079,249.645117,402.4249,121.681886,288.874132,117.662813,127.968678,5.3669725,347.054709,141.864812,1587.454,44.38789,106.277496,246.405354,146.0811,2324.327235,578.6137,1157.828111,72.566715,63.73517,47.812343,237.2572,29.292369,302.356905,416.113506,176.521899,57.439652,505.037591,1252.589,82.70864,0,259.2594,541.32943,471.59344,227.570766,295.0108,250.669749,4.501969,300.607344,3163.20722,1041.077062,348.138229,191.696581,21.661796,258.356072,108.809946,489.6542821
biotin biosynthesis I,2556.446858,3949.862473,1885.152555,12459.56678,10955.75371,8088.53,41434.72,43993.77,1941.845854,1824.993839,9509.743691,1514.136195,8159.526917,15560.98312,3836.432635,10484.19721,6796.091566,11427.78,2325.014198,2834.45713,3264.457,9153.644814,11527.95735,14998.25804,7744.222099,16.4120456,3940.997427,7005.042107,7129.807,12555.76,12329.33816,12427.19466,17861.83,4527.009676,5087.595,6951.418075,10115.12969,9720.715,13541.66669,19656.71,4282.961521,4117.453341,2381.566741,16924.26832,12422.75101,14095.60347,44633.63,12738.89,3.003823,2085.107,4517.298324,2419.390295,5752.963031,6709.867,9074.307138,66.500446,6679.647355,13211.56901,5961.93938,11873.34846,5832.584271,4327.494496,9751.261602,6897.287191,877.2490889
superpathway of branched amino acid biosynthesis,7259.884232,6736.355528,4478.623205,15315.98052,12605.55057,10348.14,58304.19,76587.38,12088.81088,6927.612743,11600.7879,3916.959044,10919.97752,18479.02096,4847.193975,12703.98282,8134.920401,13444.41,7365.960725,11021.51701,7629.723,10592.04461,15423.09073,20270.82426,9148.374023,22.0117353,8905.221804,12567.28205,12429.59,14262.21,15337.8057,17034.10873,21950.45,5812.777382,8959.297,12537.56393,12305.13828,12736.17,16504.6092,24564.98,12654.60375,5598.664128,4325.686365,19914.7216,14218.03903,18074.63389,71714.11,14808.29,15.416428,7936.293,7884.702406,5750.319062,8500.632636,9285.34,11557.52516,372.665873,13131.94111,15278.92718,15831.37477,13488.03748,7579.979936,5519.818701,12482.09424,7761.995661,1255.182497
Calvin-Benson-Bassham cycle,7233.651766,6517.752583,4357.971776,13845.00998,11471.05233,9545.132,50658.24,69589.16,11872.70147,6877.949239,11809.94873,3801.087935,10041.1348,16838.87125,4320.769757,11001.66447,7428.595027,12298.23,7293.693928,10036.26418,7194.418,9670.899364,13965.87449,18632.16911,8351.548253,26.2863008,8608.123005,11929.83543,11432.79,12872.6,14077.13241,15401.52212,18676.15,5917.118622,8766.028,11782.88165,11200.60019,11782.81,15130.04546,22274.04,13021.69285,5665.432456,4008.579712,17564.123,12436.82756,16525.55435,65715.37,13455.94,19.327625,7820.385,7372.736564,5506.860105,7731.604892,8577.336,10552.60987,387.633012,13110.47368,24480.55453,15771.12072,11931.29722,6910.250104,4945.783828,11126.54459,6872.137076,1175.798833
catechol degradation to &beta;-ketoadipate,232.976749,30.3566495,327.022267,399.426467,345.952644,339.0694,3648.876,6295.273,369.586243,192.022202,33.918017,226.983873,430.640141,860.039711,182.433923,1011.464217,318.491722,433.2072,412.013346,129.523446,687.0105,329.267149,968.163946,1178.776926,449.043111,3.1557377,450.844869,184.768351,2027.488,394.3314,610.122856,984.904098,1617.742,67.465018,745.8993,1574.006263,383.013149,420.5081,482.820193,1173.152,22.353139,349.711418,560.216691,1205.26299,1303.848441,1136.724193,5795.957,464.0859,0,326.4094,471.773591,586.738126,691.659375,707.2734,658.911983,11.484375,494.816207,100.19439,624.482939,1033.589213,507.077638,315.127378,477.342758,560.582263,443.4860868
pyruvate fermentation to butanoate,27.853586,8.9352866,38.51165,2.328011,0,0,0,0,759.17995,0,64.295668,40.412,149.383767,0,0,0,0,0,28.817014,3.22829,9.871993,0,0,0,0,4.7856185,3.480803,19.801298,114.9305,15.15982,0,0,3.190888,45.14703,104.1283,100.18749,53.674703,0,0,0,2788.961889,79.550135,42.967213,13.929178,0,5.987325,0,0,0,20.2781,45.228056,6.846943,0,65.2562,0,64.402758,45.568313,8221.721301,126.695031,2.332229,0,0,0,0,219.4723348
"chlorophyllide a biosynthesis I (aerobic, light-dependent)",0,0,0,0,0,0,0,0,2.320846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coenzyme A biosynthesis I,5309.49,5318.85,3264.95,11883.33,9904.25,7987.08,41332.68,54778.17,9127.039415,5087.96,8462.91,2831.24,8343.712498,14409.5,3709.33,9355.669973,6329.09,10492.42,5408.38,9433.559921,5444.27,8303.299155,11723.5,15429.24998,7137.75,15.75,6636,9953.61,8826.211,11220.46,11858,12759.2493,16236.93,4535.52,6458.55,9047.78,9563.25,9764.92,12818,18663.75,10246.78045,4046.2,3060.18,15197.62985,10907.85,13727.40971,52161.08,11592.51,12.049287,5793.48,6028.57,4143.44,6193.828547,6992.159,8834.339972,291.827647,9538.73,16018.79802,11605.02,10503.5,5807.25,4158.169459,9519.75,6019.168962,955.9230893
adenosylcobalamin salvage from cobinamide I,5102.724884,1883.169917,3083.179508,5345.228456,4318.616609,4280.979,24127.3,39383.6,8550.927866,4834.657248,6753.379688,2592.065812,4576.569831,6920.659654,1689.900064,4377.630211,3062.695147,4964.314,5189.74581,1124.914124,4934.897,3694.4721,6548.188635,8963.673964,3496.592332,9.8202247,5137.868351,3429.666905,8190.795,4425.202,6188.247695,7318.350822,7721.391,2913.936214,6241.869,8064.268878,4437.483609,5467.63,6338.377633,9706.015,7965.368218,4009.130083,2885.262079,6901.504978,4849.943696,7896.412313,38482.73,5150.724,4.481328,5583.835,3271.837016,3978.350815,4120.81771,4443.308,4805.077727,251.041713,9325.62728,12432.337,10851.04259,4326.449602,3184.004786,2141.843535,4623.269892,2656.172782,890.1834631
reductive acetyl coenzyme A pathway,0,0,0,0,0,0,0,0,143.705084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8757751
colanic acid building blocks biosynthesis,5202.449046,3505.237614,3115.350732,9061.472508,7382.989207,6610.577,37071.41,50125.71,1823.595464,5122.2432,4266.778904,2784.739372,6898.684729,10869.36037,2943.595599,8020.529056,4951.240214,7970.748,5364.041305,4102.184081,5424.154,6035.919538,9785.532491,13314.66815,5577.131286,14.4921323,6290.784669,6820.617414,8320.707,7699.797,9584.234123,11014.95362,12573.74,4592.737662,5919.047,8458.478135,7235.969244,8225.783,10234.59918,15782.53,4377.012079,3061.287157,2932.691521,12322.5869,8752.55536,11692.73451,47967.74,8671.562,2.8139,5801.508,5306.988783,4111.650156,5765.73242,6098.989,7318.803247,71.165033,8597.10459,8353.011105,11665.69211,7822.017163,4751.879526,3504.634796,7411.110207,4553.018859,439.9683981
superpathway of aromatic amino acid biosynthesis,6738.277467,6216.680509,4320.793662,15167.97588,12730.10792,10238.16,53602.9,70142.18,11695.17598,6416.531126,10459.55719,3650.20483,10656.14813,18477.77748,4758.189474,12152.09801,8118.052055,13465.24,6893.149375,10530.22461,7174.492,10674.52312,14936.86467,19733.83675,9149.038803,20.5697935,8388.218474,11720.33693,12452.6,14335.47,15202.5157,16380.60618,21089.32,5812.892746,8621.996,12316.58336,12244.02734,12545.6,16443.85239,24022.09,12016.13658,5293.7252,4252.109156,19524.87258,14125.25843,17688.15393,67143.35,14898.62,15.476024,7360.638,7569.699378,5552.174957,7994.614185,8988.278,11331.11949,361.430474,12159.52227,18910.25386,14984.57787,13354.24787,7444.673877,5351.435587,12111.42213,7738.874594,1394.813043
creatinine degradation I,3.503294,0,0,0,0,0,0,0,0,0,0,26.530084,0,2.982472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.502545,0,0,0,0,29.34226,0,0,0,0,0,0,0,0,0,0,0
L-lysine biosynthesis I,5841.388715,5961.616728,3642.916603,13053.4933,10886.39213,8755.209,47035.52,61572.03,10566.09704,5487.499942,10258.93244,3144.810003,9213.305373,15902.74919,4095.162026,10786.36914,6957.2646,11596.84,5884.845971,9660.801987,6086.924,9077.548697,13034.5835,17099.27772,7881.632847,18.8619842,7130.066188,10957.60185,10192.52,12355.66,13087.36271,14237.89742,18528.56,5208.255971,7449.175,10257.3871,10551.48287,10742.49,14047.85912,20746.86,10642.76291,4858.925123,3494.295685,17059.83716,12318.93497,15188.08925,58320.8,12760.25,12.493137,6290.532,6492.668816,4629.311421,6996.303199,7782.657,9776.394871,344.372735,10832.79899,17301.34614,12832.33328,11778.01977,6418.277313,4661.846164,10500.48359,6721.557541,1219.339106
nitrate reduction I (denitrification),0,0,0,3.044968,0,16.12026,1158.071,2092.676,44.075503,15.51167,0,52.360515,22.389525,0,48.075306,389.130764,18.234382,2.19926,0,0,139.5343,4.458965,0,74.334382,0,0,5.313488,1.671642,0,3.318229,3.2,255.806321,544.8624,0,5,5.655519,0,34.34368,1.697749,448.0269,0,0,0,235.085373,356.431307,244.217618,3171.64,3.167352,0,0,1.817232,0,175.165298,66.12608,67.474181,1.25,0,0,0,1.879712,0,52.098992,0,102.766672,0
superpathway of purine nucleotides de novo biosynthesis II,3133.565015,4348.378677,2338.494964,38.198663,5.747367,147.3181,15430.68,19184.39,5456.20503,913.004367,8961.150718,1678.816477,2249.600869,765.941874,1524.325009,2543.307313,212.823468,22.04355,2039.59888,2115.159178,2893.511,969.881702,0,607.319511,0,16.6775171,2043.546457,7435.069543,7234.634,2594.503,22.964997,2197.723233,4036.949,4611.209542,5400.96,6542.438074,694.056272,464.8247,0,3767.706,8600.053173,4130.979402,2361.276733,2012.416928,2874.689796,2087.176338,25331.19,26.86093,11.677871,1693.593,3364.915585,2444.436151,1193.452507,1141.636,690.828269,190.330648,7772.0627,17699.6381,6491.695304,31.550679,0,350.942682,0,837.111084,953.0872313
glucose degradation (oxidative),215.511687,38.2124265,353.082621,0,0,0,0,0,64.982598,102.896134,32.063455,190.575283,0,2.48617,0,1.24936,0,0,269.48947,158.399303,540.8624,0,0,0,0,1.1973339,397.333426,230.297873,2336.256,0,0,0,0,67.735074,833.3608,1617.230489,0,0,0,0.6239636,26.021792,364.523831,659.274826,42.073859,0,0,0,0,0,239.3149,512.621221,642.745778,0,10.19755,0,2.386149,266.981994,88.779798,557.752044,0,0,0,0,0,490.4663247
dTDP-L-rhamnose biosynthesis I,5082.91071,756.4749723,3259.872557,11683.18982,9626.531513,7773.418,40642.5,54927.37,9901.585509,5015.907503,1795.717768,2793.643627,8088.893058,13817.8947,3697.871128,9088.218375,6137.973335,10143.71,5282.127731,2161.94905,5419.252,8125.224722,11002.22647,14804.41325,6715.609735,18.7589627,6551.095826,2921.791638,9108.53,10803.64,11356.91655,12450.7373,15958.22,4030.671879,6220.82,9044.717739,9396.742591,9528.06,12422.81531,18602.92,10673.46659,3143.58408,3113.457035,14700.07991,10469.3954,13445.42678,52953.69,11271.29,12.805923,5758.913,4635.061167,4188.439396,6050.753018,6648.687,8512.615465,310.23067,8580.120101,9057.555395,11411.76359,10137.25934,5538.347929,4059.369977,9352.404904,5730.22756,1258.73618
enterobacterial common antigen biosynthesis,486.625885,1715.68357,103.009433,0,0,0,0,0,4.369974,37.986182,6295.286689,106.059489,2.675195,0,0,0,0,0,141.005743,223.194993,38.72738,0,0,0,0,5.4834605,18.9617,2260.18386,68.59147,0.5434869,0,0,0.3744792,2580.537913,1152.315,190.381514,0,0,0,0,765.602607,1957.387622,65.92103,0,0,0,0,0,0,23.36123,277.281027,42.978581,0,0.6127717,0,0,2249.587517,8711.621541,787.044212,0,0,0,0,0,1.4526157
enterobactin biosynthesis,1419.713227,108.247607,1187.328143,5003.142174,3716.174671,3549.643,20674.59,28113.47,1180.115724,1534.641358,157.853172,1038.876253,3987.324839,6032.11323,1646.914479,4190.243682,2605.917006,4326.598,1543.618177,1176.449693,2189.725,3240.70201,5696.187444,7526.10704,2925.662136,8.3921838,1933.210861,860.418338,3508.038,4190.665,5272.605996,6260.871836,7068.039,3810.68381,2424.159,3920.610602,4018.47982,4554.068,5419.974078,8319.284,153.50431,1187.017857,1149.248182,6202.034215,4197.520097,6246.485388,27594.08,4473.453,3.53019,1594.546,2031.073743,1343.300191,3230.62222,3476.121,4006.841155,5.401286,3182.294746,8984.882668,5300.79451,3963.247855,2689.46535,1901.525081,4240.817862,2273.601761,31.8910334
fatty acid &beta;-oxidation I,15101.75397,3897.834633,9062.84779,22844.41643,19042.29243,16623.24,85380.24,130467.7,2826.542007,14889.35586,13366.88939,7928.353465,17227.38242,28773.20959,7044.99699,18074.11265,12703.90715,21022.27,15627.5829,3246.58518,15660.92,16066.20067,24138.59191,33488.44684,14283.03087,28.0037953,15778.73673,7984.524265,24497.08,20597.36,24534.10747,27239.13282,30805.35,5767.00118,17944.29,24394.95216,18816.53828,20981.03,25991.30563,38166.67,2684.281194,10025.81242,8617.936934,28409.846,20032.85474,29016.03985,127721.6,22502.43,7.005243,16995.74,9778.80811,12152.8708,14212.17545,15553.81,18412.76281,74.130132,26103.68597,15860.76446,32992.68038,19927.89248,11974.18929,8272.921351,17924.54491,11324.75249,1179.158418
fatty acid elongation -- saturated,6861.687884,6577.774859,4152.494655,19047.19273,16192.96052,12326.44,67669.96,75653.89,3790.046822,6528.941584,11060.09695,3694.538013,12706.93806,23201.50732,5923.361592,16229.23052,10147.13492,17008.3,6939.757111,11167.93889,7154.022,13568.71069,18009.85234,23328.2618,11490.63115,25.3516952,8453.676307,12387.86773,12161.55,18684.34,18640.8624,19673.8426,28043.44,6277.582757,8508.414,11554.87822,15306.24621,14933.89,20351.44436,30010.63,8511.105507,5531.987415,4098.596468,25523.33274,18550.29512,21434.29927,73660.21,18927.62,4.699036,7471.875,7621.157615,5346.035607,9201.081455,10457.79,13845.84042,147.522627,12568.86364,20053.46422,15110.00654,17613.07873,8969.612926,6736.471768,15164.85569,10201.47348,1359.723948
superpathway of fatty acid biosynthesis initiation (E. coli),3033.25832,3081.513566,2811.218395,17089.18894,14710.78942,11244.34,56454.51,62591.61,2663.657386,2661.125392,9002.706495,2093.087885,11240.89229,20608.1225,5413.468743,13643.88365,9010.543517,15583.36,3239.543583,1764.796133,4991.798,12073.84933,16384.13905,21092.93679,10316.51075,14.9010523,4001.488715,5413.796663,10855.74,16811.47,16810.59945,17455.70698,24737.31,3867.80519,6514.754,10014.38718,13954.89342,13520.32,17899.6766,26992.29,3008.085854,4372.87355,3612.72545,22404.48498,17797.10517,19267.27097,63831.99,17257.79,4.315039,3236.025,4099.025309,3679.140822,7911.940102,9183.176,12299.95832,61.380376,7562.389823,12399.46332,8333.253428,16180.99747,8190.016944,5965.394522,13525.90548,8972.933782,1169.943721
mixed acid fermentation,4399.965341,4698.931483,2758.851304,15085.00563,12710.24981,10007.73,50503.4,61807.28,3612.50252,3633.306434,11143.66233,2433.506068,10351.40424,18465.13444,4676.791696,12172.16895,8080.427566,13498.04,3897.861182,2164.64724,4978.501,10748.24332,14592.26142,19149.33522,9117.723821,15.8896923,4314.055549,8101.087416,8340.335,14407.72,15086.94823,15872.0865,21103.19,5265.402454,6826.982,8650.722662,12153.09414,12272.71,16357.98235,23807.08,7561.189001,5519.640301,2728.513202,19627.73015,14258.07594,17194.99914,61450.77,14922.13,8.995834,3769.053,3673.800354,3168.467015,7467.832095,8593.919,11095.7254,153.789388,10786.17113,14920.89503,10333.72267,13372.92359,7234.556999,5257.353102,11867.70141,7861.218169,817.537039
superpathway of tetrahydrofolate biosynthesis and salvage,5855.614389,5003.806754,3590.166018,11241.3851,9213.179078,7807.653,41837.63,57889.37,5432.083154,5535.404546,9795.688542,3097.945076,8277.40648,14053.91508,3614.632526,9048.285289,6092.433937,10120.76,5930.395761,4279.816819,5977.333,7909.408731,11706.17429,15523.79029,6914.262555,17.045382,6954.31652,8935.939883,9891.363,10577.09,11642.94531,12794.60711,15655.57,4426.266216,7286.116,9993.536392,9151.843076,9688.525,12355.28785,18211.74,8718.81584,4708.574395,3411.503269,14270.84873,10021.83892,13645.56675,54979.83,10896.48,11.085322,6326.868,5771.522108,4612.123457,6429.255515,7165.679,8753.696415,182.316281,10725.19723,17202.13519,13089.4226,9877.399892,5771.15166,4056.789317,9029.222638,5648.397536,981.897156
